tempo,rms,spectral_centroid,spectral_bandwidth,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,chroma,contrast,tonnetz,onset,genre
[129.19921875],0.32515678,3178.102096790957,3099.1091274297873,0.11517277295375387,-13.670152,65.36363,30.911867,23.501722,14.826763,0.41694015,19.974050849729938,-0.007109127975992142,1.7703196,electronic
[117.45383523],0.27810356,1660.895714258602,2247.619331597397,0.04192869582043344,-121.87269,101.81353,9.20006,29.338423,14.6343155,0.46664795,20.999893735527895,0.0837514503666082,1.5495458,electronic
[123.046875],0.048308145,5032.460802999884,2943.898330129924,0.3681716210332817,-191.31448,-6.899387,9.955563,-2.3820188,-16.134802,0.46563336,20.919059986048257,0.06896211561794442,2.1244211,electronic
[117.45383523],0.21887186,3283.585253994906,3066.74874431785,0.15203347220878483,-37.48113,64.82664,19.039558,13.4766035,0.67507416,0.33534965,23.385964332710092,0.027054085161324785,1.2540967,electronic
[184.5703125],0.12180193,1635.2153721424866,1476.716699507583,0.10562974675890092,-145.54118,129.21637,-71.80342,-26.13046,-29.856419,0.3143612,23.590667181719894,-0.06811651934138524,1.1103387,electronic
[129.19921875],0.3210529,2479.0350857446997,2904.3702999308744,0.05301139524477554,-88.56033,70.14437,18.388632,20.164625,16.921162,0.51475513,19.780456347460614,0.014091893314732058,1.8225815,electronic
[117.45383523],0.23007363,2770.826087723452,2977.0412721866005,0.09651982452109133,-71.72195,72.11268,20.228636,10.904776,6.9992485,0.42641315,21.864838293195398,0.006295471328692084,1.8597933,electronic
[123.046875],0.24326578,2390.8508082207236,3120.2183371797937,0.05502045339106037,-160.65685,92.56484,83.860466,7.132474,8.637139,0.4507164,21.83747671029832,0.000899030909173116,2.2290635,electronic
[83.35433468],0.14636745,1065.4310893847385,1212.3960894591671,0.060897590944272446,-260.86548,163.01137,9.9723625,-10.845,13.964469,0.31859785,24.06151304730203,0.026041065822484305,1.5997224,electronic
[80.74951172],0.049906168,1705.3361419114183,2045.773957872868,0.07129699895994582,-250.62802,116.87177,-1.927734,28.098564,1.9299649,0.3339147,24.749096794816868,-0.021470184338158747,1.0277859,electronic
[172.265625],0.3088161,1934.4941508829484,2345.4058751753514,0.06207105323626161,-95.42999,116.05677,45.994526,17.577747,-4.9583397,0.25571686,22.466370911421393,0.0472786143694117,1.8228363,electronic
[112.34714674],0.28035653,2651.830746398393,2798.0727690672998,0.07781887940208979,-29.149986,78.137054,14.665351,27.331743,2.0277815,0.3672923,22.648850199996986,0.040539790020679894,1.7863146,electronic
[117.45383523],0.090050146,2680.6681974894555,2054.665679175781,0.15356861031830496,-157.17569,66.78946,-49.612194,9.487431,-28.14724,0.3806082,23.531985444318348,-0.052192922130046004,1.3984888,electronic
[123.046875],0.20662129,2955.718609173666,2568.586486367023,0.14828481762770898,-69.16729,50.51591,-2.0408618,26.726418,-1.9344618,0.5628739,20.21609323932778,0.02288569789284857,2.2405448,electronic
[60.09265988],0.24985464,2115.197930686,2212.1094418718912,0.09318953475715944,-58.23756,107.171684,-20.143019,10.949229,14.873106,0.34987795,24.02686491669732,0.04049291233241491,1.2121725,electronic
[117.45383523],0.12555979,1563.2865540547275,1719.3328316096827,0.07485102130901702,-197.14752,124.89904,13.744706,20.112432,7.3933315,0.5269725,20.914338936402483,0.014479578321703395,1.2884462,electronic
[161.49902344],0.100421585,2239.1490327746837,2135.935669972938,0.12330386513157894,-134.2988,103.96425,-26.83338,20.801733,-0.9292799,0.51399577,21.616607347590044,0.0184552218743006,1.4238793,electronic
[95.703125],0.21631315,2047.4336610573312,2356.932116552323,0.06208050140286378,-89.54703,93.02314,-8.519748,25.946577,-1.6707857,0.43385854,22.4815382710396,0.046501427933156717,2.1976855,electronic
[123.046875],0.120006576,647.9092415754271,848.4406462104528,0.02749756615228328,-319.5866,153.33485,37.710255,3.7384813,8.163791,0.3618095,24.144451916243302,0.03249693051475031,0.9659147,electronic
[117.45383523],0.04023274,768.6674731242746,852.1133452242606,0.03964904218266254,-368.16913,167.43771,3.905993,11.597891,3.1278162,0.41731632,21.63341147640353,-0.023375017172993742,1.6149955,electronic
[117.45383523],0.13840227,1612.8674998659653,1972.9475653924917,0.06868136851780186,-164.2894,133.25363,2.9571598,10.181137,1.918342,0.3695581,23.097402984643207,0.142014927469497,1.0240266,electronic
[172.265625],0.19293195,779.3687715326349,758.8423277655014,0.04975442325367647,-178.49217,225.84375,-14.191762,-24.910767,8.890039,0.4820759,23.86730654858163,0.08605215907925293,0.9311785,electronic
[54.97839096],0.013915564,1000.8974471027724,1758.1761971267413,0.026356983480069658,-610.45056,113.59416,50.772415,25.270163,31.226408,0.301124,24.869798912555282,-0.09133103947315958,0.44103786,electronic
